model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,12549,22,0.6682772765195364,0.8214451528519394,0.6711908931698773,0.49564375605033884,0.5989855449933568,0.2216112837676309,0.4770215170354951,0.26228655781278976,0.4770215170354951,0.279342339737532,0.12958281660890086,0.11024777848982985
lgb,12549,23,0.6708232794682796,0.8241527946952922,0.6704620100722575,0.5006464124111183,0.6036011570392064,0.2216112837676309,0.47162053373919066,0.2678750538297976,0.47162053373919066,0.2848016308845964,0.12860117114458014,0.11189434082741415
lgb,12549,24,0.6676116655526293,0.8209032261944118,0.6611973392461198,0.49507227332457293,0.5996667547363506,0.2216112837676309,0.4695661879683597,0.2632187026137711,0.4695661879683597,0.2802529335438607,0.1294190810147108,0.10989591295146353
lgb,12549,25,0.6701260396803475,0.8255922379593179,0.6781961471103327,0.49919380844888733,0.6037074118971051,0.2216112837676309,0.48190896783472037,0.26885804569626237,0.48190896783472037,0.28576189618279035,0.1284285040255122,0.11267323225768175
lgb,12549,26,0.6684895410517496,0.8249909584524587,0.6787271142109852,0.4961215255332902,0.602014030389372,0.2216112837676309,0.48710359420686433,0.26688430378490013,0.48710359420686433,0.2838337867754477,0.1287752010239769,0.11209722991358487
lgb,12749,2,0.5062644394353764,0.6163831084289871,0.061362103843560355,0.0375215996050358,0.32075785652795774,0.22189975684367402,0.06175707832758204,0.03035383745633291,0.06175707832758204,0.050900277167355346,0.17032288375265134,0.014258352146898863
lgb,12749,3,0.5414757515886454,0.6835340142979452,0.2771256799312911,0.18506700701978301,0.38120392838318395,0.22189975684367402,0.16682619843463065,0.07540719882771751,0.16682619843463065,0.09499897465313467,0.16240905010080214,0.03829260696201203
lgb,12749,4,0.5256724697353183,0.6463649171711464,0.17426356589147288,0.12849787329303783,0.34648356873970626,0.22189975684367402,0.11977049958581654,0.044172096373564784,0.11977049958581654,0.06442573234367466,0.16789564194204115,0.02148904353432953
lgb,12749,5,0.5467181701016738,0.6997752088927436,0.28352707683583783,0.2030499268853144,0.4007439230864006,0.22189975684367402,0.17469173651150616,0.08804211567281695,0.17469173651150616,0.10736616233347318,0.1601896678599784,0.044023381767051104
lgb,12749,6,0.5401424210667629,0.6768063395403137,0.2806197018415668,0.18038042316734343,0.389860611416215,0.22189975684367402,0.17832295937690512,0.07455499976472202,0.17832295937690512,0.09416483336971493,0.16255874285218674,0.034927248050690696
lgb,12749,7,0.5404611692964274,0.6847123245488773,0.29380841121495327,0.17836320449147053,0.39581553316162454,0.22189975684367402,0.2135350717800526,0.07936668016216153,0.2135350717800526,0.09887455605823581,0.16171354868482357,0.03752452288502375
lgb,12749,8,0.5588771674821045,0.7135610112538469,0.37204242589067177,0.24269122947537042,0.4197820370101415,0.22189975684367402,0.24825587189673537,0.10278363569370019,0.24825587189673537,0.12179531505579111,0.15760025091816565,0.04918259507543493
lgb,12749,9,0.6452835336374854,0.8034160024809491,0.5718194254445964,0.4509836892550866,0.5693804734667123,0.22189975684367402,0.3772564907905245,0.231580757376463,0.3772564907905245,0.24786327387705598,0.1349764340750176,0.09852201011288023
